Time_ms,CKA_Before,CKA_After
4.000000000000000000e+03,9.995190569758415355e-01,1.000000000000000000e+00
8.000000000000000000e+03,9.983525600299543168e-01,1.000000000000000000e+00
1.200000000000000000e+04,9.980933456518211733e-01,1.000000000000000000e+00
1.600000000000000000e+04,9.953984000853129954e-01,1.000000000000000000e+00
2.000000000000000000e+04,9.992373730515947683e-01,1.000000000000000000e+00
2.400000000000000000e+04,9.898316299002998253e-01,1.000000000000000000e+00
2.800000000000000000e+04,9.979977448862425993e-01,1.000000000000000000e+00
3.200000000000000000e+04,9.925438321549064913e-01,1.000000000000000000e+00
3.600000000000000000e+04,9.919506145861683999e-01,1.000000000000000000e+00
4.000000000000000000e+04,9.942228929668056603e-01,1.000000000000000000e+00
4.400000000000000000e+04,9.983345397941920663e-01,1.000000000000000000e+00
4.800000000000000000e+04,9.826240393093653713e-01,1.000000000000000000e+00
5.200000000000000000e+04,9.937306232294257358e-01,1.000000000000000000e+00
5.600000000000000000e+04,9.959186420270375040e-01,1.000000000000000000e+00
6.000000000000000000e+04,9.859928569562581568e-01,1.000000000000000000e+00
6.400000000000000000e+04,9.862409394067160884e-01,1.000000000000000000e+00
6.800000000000000000e+04,9.945721725967465732e-01,1.000000000000000000e+00
7.200000000000000000e+04,9.839309022803696125e-01,1.000000000000000000e+00
7.600000000000000000e+04,9.833221870356676497e-01,1.000000000000000000e+00
8.000000000000000000e+04,9.777256079230989272e-01,1.000000000000000000e+00
8.400000000000000000e+04,9.812746006280792521e-01,1.000000000000000000e+00
8.800000000000000000e+04,9.718733553557979965e-01,1.000000000000000000e+00
9.200000000000000000e+04,9.838938096834688452e-01,1.000000000000000000e+00
9.600000000000000000e+04,9.869317027987266622e-01,1.000000000000000000e+00
