Time_ms,CKA_Before,CKA_After
4.000000000000000000e+03,9.995008768779890529e-01,1.000000000000000000e+00
8.000000000000000000e+03,9.983345448362583863e-01,1.000000000000000000e+00
1.200000000000000000e+04,9.983151781680632553e-01,1.000000000000000000e+00
1.600000000000000000e+04,9.955492711857873989e-01,1.000000000000000000e+00
2.000000000000000000e+04,9.994789944862833009e-01,1.000000000000000000e+00
2.400000000000000000e+04,9.906144791780685521e-01,1.000000000000000000e+00
2.800000000000000000e+04,9.984162106562634031e-01,1.000000000000000000e+00
3.200000000000000000e+04,9.933420717594575455e-01,1.000000000000000000e+00
3.600000000000000000e+04,9.842676250150008688e-01,1.000000000000000000e+00
4.000000000000000000e+04,9.935104160710257482e-01,1.000000000000000000e+00
4.400000000000000000e+04,9.957135265883134689e-01,1.000000000000000000e+00
4.800000000000000000e+04,9.929154657709354792e-01,1.000000000000000000e+00
5.200000000000000000e+04,9.961417635180511709e-01,1.000000000000000000e+00
5.600000000000000000e+04,9.943209091376284947e-01,1.000000000000000000e+00
6.000000000000000000e+04,9.832032494520654975e-01,1.000000000000000000e+00
6.400000000000000000e+04,9.832330262995495618e-01,1.000000000000000000e+00
6.800000000000000000e+04,9.923774423952005375e-01,1.000000000000000000e+00
7.200000000000000000e+04,9.895783769962739340e-01,1.000000000000000000e+00
7.600000000000000000e+04,9.773341595609577048e-01,1.000000000000000000e+00
8.000000000000000000e+04,9.912398897324289360e-01,1.000000000000000000e+00
8.400000000000000000e+04,9.869228190001175793e-01,1.000000000000000000e+00
8.800000000000000000e+04,9.815253541664201720e-01,1.000000000000000000e+00
9.200000000000000000e+04,9.827273845368501570e-01,1.000000000000000000e+00
9.600000000000000000e+04,9.454376355467402071e-01,1.000000000000000000e+00
